Category,Sub-Category,Bitmask,Gene,Comment,Subjective,Can be derived without analyzing reviews,Directly derivable from Expedia data (Y/N),Gene Code,Key,Attribute,Function,,
HOTEL AMENITIES,Laundry,42,Laundry on premises,,No,No,Y,Laundry_on_premises,Laundry facilities,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Laundry,43,Room service drycleaning / laundry,,No,,Y,Room_service_drycleaning_laundry,Dry cleaning/laundry service,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Others,44,Hair Saloon,,No,Yes,Y,Hair_Saloon,Hair salon,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Parking,45,Free parking,,No,Yes,Y,Free_parking,Covered parking (free) OR Free covered parking OR Free guest parking OR Free long-term parking OR Free outdoor parking OR Free parking (limited spaces) OR Free RV and truck parking OR Free secure covered parking  OR Free secure outdoor parking OR Free secure parking OR Free self-parking OR Free valet parking OR Parking (valet) free OR Parking limited (free) OR RV and truck parking (free) OR Secure outdoor parking (free) OR Street parking (free)   ,hotel_amenity,"match(""parking free"")",Covered parking (free) ,Outdoor parking (surcharge) 
HOTEL AMENITIES,Parking,46,Covered Parking,,No,Yes,,Covered_Parking,Free covered parking OR Free secure covered parking OR Covered parking (free) OR Covered parking (surcharge) OR Secure covered parking (surcharge),hotel_amenity,"match(""covered parking"")",,Parking (secure)                    
HOTEL AMENITIES,Parking,47,Free covered parking,,No,Yes,Y,Free_covered_parking,Free covered parking OR Free secure covered parking OR Covered parking (free),hotel_amenity,"match(""covered free parking"")",Covered parking (surcharge) ,Parking (surcharge) 
HOTEL AMENITIES,Parking,48,Covered parking (surcharge),,No,Yes,Y,Covered_parking_surcharge_,Covered parking (surcharge) OR Secure covered parking (surcharge),hotel_amenity,"match(""covered surcharge  parking"")",Disabled parking ,Parking (valet) 
HOTEL AMENITIES,Parking,49,Valet Parking,,No,Yes,Y,Valet_Parking,Valet parking,hotel_amenity,"match(""..."")",Free covered parking ,Parking (valet) free
HOTEL AMENITIES,Parking,50,Free Valet Parking,,No,Yes,Y,Free_Valet_Parking,Free valet parking OR Valet parking (free),hotel_amenity,"match(""free valet parking"")",Free guest parking ,Parking limited (free) 
HOTEL AMENITIES,Parking,51,Charged Valet Parking,,No,Yes,Y,Charged_Valet_Parking,Parking (valet) OR Valet parking (surcharge) OR Parking (valet) Fees Apply,hotel_amenity,"match(""parking valet (surcharge OR fees)""",Free long-term parking ,Parking nearby 
HOTEL AMENITIES,Parking,52,Garage Parking,,No,Yes,Y,Garage_Parking,Garage parking (free)  OR Garage parking (surcharge) ,hotel_amenity,"match(""parking garage"")",Free outdoor parking ,
HOTEL AMENITIES,Parking,53,Garage Parking Free,,No,Yes,Y,Garage_Parking_Free,Garage parking (free) ,hotel_amenity,"match(""..."")",Free parking (limited spaces) ,RV and truck parking 
HOTEL AMENITIES,Parking,54,Garage Parking Surcharge,,No,Yes,Y,Garage_Parking_Surcharge,Garage parking (surcharge) ,hotel_amenity,"match(""..."")",,RV and truck parking (free) 
HOTEL AMENITIES,Parking,55,Handicapped Parking,,No,Yes,Y,Handicapped_Parking,Handicapped parking ,hotel_amenity,"match(""..."")",Free RV and truck parking ,Secure outdoor parking (free) 
HOTEL AMENITIES,Parking,56,Limited Spaces,,No,Yes,Y,Limited_Spaces,Parking limited (free) OR Free parking (limited spaces),hotel_amenity,"match(""parking limited"")",Free secure covered parking  ,Secure outdoor parking (surcharge) 
HOTEL AMENITIES,Parking,57,Long term parking,,No,Yes,Y,Long_term_parking,Long-term parking (surcharge) OR Free long-term parking ,hotel_amenity,"match(""long-term parking"")",Free secure outdoor parking ,Self parking  
HOTEL AMENITIES,Parking,58,Offsite parking reservations required ,,No,Yes,Y,Offsite_parking_reservations_required,Offsite parking reservations required ,hotel_amenity,"match(""..."")",Free secure parking ,Self-parking (surcharge) 
HOTEL AMENITIES,Parking,59,Outdoor Parking (free),,No,Yes,Y,Outdoor_Parking_free_,Outdoor parking (free) ,hotel_amenity,"match(""..."")",Free self-parking ,Street parking (free) 
HOTEL AMENITIES,Parking,60,Outdoor parking (surcharge) ,,No,Yes,Y,Outdoor_parking_surcharge_,Outdoor parking (surcharge) ,hotel_amenity,"match(""..."")",,Street parking (metered) 
HOTEL AMENITIES,Parking,61,Parking Nearby (free),,No,Yes,Y,Parking_Nearby_free_,Free parking nearby OR Parking nearby,hotel_amenity,"match(""parking nearby"")",Free valet parking ,Valet parking (surcharge) 
HOTEL AMENITIES,Parking,62,Parking nearby (surcharge) ,,No,Yes,Y,Parking_nearby_surcharge_,Parking nearby (surcharge) ,hotel_amenity,"match(""..."")",Long-term parking (surcharge) ,
HOTEL AMENITIES,Parking,63,RV and Truck Parking,,No,Yes,Y,RV_and_Truck_Parking,RV and truck parking ,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Parking,64,RV and truck parking (free) ,,No,Yes,Y,RV_and_truck_parking_free_,RV and truck parking (free) OR Free RV and truck parking ,hotel_amenity,"match(""RV truck parking free"")",,
HOTEL AMENITIES,Parking,65,Secure Parking,,No,Yes,Y,Secure_Parking,Secure parking,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Parking,66,Self Parking,,No,Yes,Y,Self_Parking,Self parking,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Parking,67,Street Parking,,No,Yes,Y,Street_Parking,Street parking,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Parking,68,Valet Parking,,No,Yes,Y,Valet_Parking,Valet parking,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Pool,69,Clean / Dirty,,Yes,No,,Clean_Dirty,,,,Swimming pool ,
HOTEL AMENITIES,Pool,70,Crowded ,,Yes,No,,Crowded,,,,Swimming pool - children&apos;s ,
HOTEL AMENITIES,Pool,71,Outdoor Heated Pool,,No,Yes,Y,Outdoor_Heated_Pool,Swimming pool - Outdoor heated      ,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Pool,72,Indoor Pool,,No,Yes,Y,Indoor_Pool,Swimming pool - indoor                    ,hotel_amenity,"match(""..."")",Swimming pool - outdoor                    ,
HOTEL AMENITIES,Pool,73,Infinity pool,,No,Yes,,Infinity_pool,,,,Swimming pool - outdoor (heated) OR Swimming pool - outdoor (heated),
HOTEL AMENITIES,Pool,74,Kids Pool Present,,No,Maybe,Y,Kids_Pool_Present,Swimming pool - children's ,hotel_amenity,"match(""..."")",Swimming pool - Outdoor heated      ,
HOTEL AMENITIES,Pool,75,Large ,,Yes,Yes,,Large,,,,Swimming pool - outdoor seasonal ,
HOTEL AMENITIES,Pool,76,Multiple Indoor Pools,,No,Yes,Y,Multiple_Indoor_Pools,Number of indoor pools > 1,hotel_amenity,compare,Number of indoor pools -  2,
HOTEL AMENITIES,Pool,77,Multiple Outdoor Pools,,No,Yes,Y,Multiple_Outdoor_Pools,Number of outdoor swimming pools > 1,hotel_amenity,compare,Number of outdoor swimming pools 8,
HOTEL AMENITIES,Pool,78,Multiple Poolside Bars,Also in Food & Beverage,No,Yes,Y,Multiple_Poolside_Bars,Multiple poolside bars,hotel_amenity,"match(""..."")",Multiple poolside bars 2,
HOTEL AMENITIES,Pool,79,Multiple Swimup Bars,Also in Food & Beverage,No,Yes,Y,Multiple_Swimup_Bars,Multiple swim-up bars,hotel_amenity,"match(""..."")",Multiple swim-up bars 2,
HOTEL AMENITIES,Pool,80,Outdoor Pool,,No,Yes,Y,Outdoor_Pool,Swimming pool - outdoor                    ,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Pool,81,Pool Present,,No,Yes,Y,Pool_Present,Swimming pool ,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Pool,82,Poolside Bar,Also in Food & Beverage,No,Yes,Y,Poolside_Bar,Poolside bar,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Pool,83,Swimup Bar,Also in Food & Beverage,No,Yes,Y,Swimup_Bar,Swim-up bar ,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Pool,84,Under renovation or closed,,Yes,No,,Under_renovation_or_closed,,,,,
HOTEL AMENITIES,Property facilities & features,85,24-hour business center ,,Yes,No,Y,24_hour_business_center,24-hour business center ,hotel_amenity,"match(""..."")",,
