Category,Sub-Category,Bitmask,Gene,Comment,Subjective,Can be derived without analyzing reviews,Directly derivable from Expedia data (Y/N),Gene Code,Key,Attribute,Function,,
HOTEL AMENITIES,Services,168,Dry cleaning/laundry service ,,Yes,No,Y,Dry_cleaning_laundry_service,Dry cleaning service OR Dry cleaning/laundry service ,hotel_amenity,"match(""dry cleaning OR laundry"")",,
HOTEL AMENITIES,Services,169,Express check-in ,,Yes,No,Y,Express_check_in,Express check-in ,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Services,170,Express check-out ,,Yes,No,Y,Express_check_out,Express check-out ,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Services,171,Floor butler ,,Yes,No,Y,Floor_butler,Floor butler ,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Services,172,Front desk (limited hours) ,,Yes,No,Y,Front_desk_limited_hours_,Front desk (limited hours) ,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Services,173,Gift shops or newsstand ,,Yes,No,Y,Gift_shops_or_newsstand,Gift shops or newsstand ,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Services,174,Grocery/convenience store ,,Yes,No,Y,Grocery_convenience_store,Grocery/convenience store OR Grocery,hotel_amenity,"match(""grocery"")",,
HOTEL AMENITIES,Services,175,Hair Salon                    ,,Yes,No,Y,Hair_Salon,Hair Salon                    ,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Services,176,Laundry Facilities,,Yes,No,Y,Laundry_Facilities,Laundry Facilities,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Services,177,Local Expert Concierge ,,Yes,No,Y,Local_Expert_Concierge,Local Expert Concierge ,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Services,178,Luggage storage ,,Yes,No,Y,Luggage_storage,Luggage storage ,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Services,179,Multilingual staff ,,Yes,No,Y,Multilingual_staff,Multilingual staff ,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Services,180,Photocopy machines ,,Yes,No,Y,Photocopy_machines,Photocopy machines ,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Services,181,Porter/bellhop ,,Yes,No,Y,Porter_bellhop,Porter/bellhop ,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Services,182,Room service                 ,,Yes,No,Y,Room_service,Room service                 ,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Services,183,Room service (24 hours)                    ,,Yes,No,Y,Room_service_24_hours_,Room service (24 hours)                    ,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Services,184,Room service (limited hours) ,,Yes,No,Y,Room_service_limited_hours_,Room service (limited hours) ,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Services,185,Safe-deposit box - Front Desk          ,,Yes,No,Y,Safe_deposit_box_Front_Desk,Safe-deposit box - Front Desk          ,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Services,186,Secretarial services                    ,,Yes,No,Y,Secretarial_services,Secretarial services                    ,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Services,187,Security guard ,,Yes,No,Y,Security_guard,Security guard ,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Services,188,Shoe shine ,,Yes,No,Y,Shoe_shine,Shoe shine ,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Services,189,Shopping on site ,,Yes,No,Y,Shopping_on_site,Shopping on site OR Gift shops or newsstand OR Grocery/convenience store OR Grocery,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Services,190,Tours/ticket assistance ,,Yes,No,Y,Tours_ticket_assistance,Tours/ticket assistance OR Tour assistance ,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Services,191,Translation services ,,Yes,No,Y,Translation_services,Translation services ,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Services,192,Umbrella ,,Yes,No,Y,Umbrella,Umbrella ,hotel_amenity,"match(""..."")",,
HOTEL DINING,Cuisine,193,American,,No,Yes,,American,,,,,
HOTEL DINING,Cuisine,194,Chinese,,No,Yes,,Chinese,,,,,
HOTEL DINING,Cuisine,195,Indian,,No,Yes,,Indian,,,,,
HOTEL DINING,Cuisine,196,Italian,,No,Yes,,Italian,,,,,
HOTEL DINING,Cuisine,197,Japanese,,No,Yes,,Japanese,,,,,
HOTEL DINING,Cuisine,198,Korean,,No,Yes,,Korean,,,,,
HOTEL DINING,Cuisine,199,Mexican,,No,Yes,,Mexican,,,,,
HOTEL DINING,Cuisine,200,Multicuisine,,No,Yes,,Multicuisine,,,,,
HOTEL DINING,Cuisine,201,Pan Asian,,No,Yes,,Pan_Asian,,,,,
HOTEL DINING,Cuisine,202,Thai,,No,Yes,,Thai,,,,,
HOTEL DINING,Food & Beverage,203,Bar,,,,,Bar,Bar/lounge OR Beach bar,hotel_amenity,"match(""bar"")",Number of restaurants ,
HOTEL DINING,Food & Beverage,204,Beach Bar,,,,,Beach_Bar,Beach bar ,hotel_amenity,"match(""..."")",,
HOTEL DINING,Food & Beverage,205,Breakfast,,,,Y,Breakfast,Breakfast service OR Breakfast available (surcharge) hot and cold buffet OR Breakfast available (surcharge) cooked-to-order OR Breakfast available (surcharge) buffet,hotel_amenity,"match(""breakfast"")",Restaurant(s) in hotel ,
HOTEL DINING,Food & Beverage,206,Breakfast (Complimentary),,,,Y,Breakfast_Complimentary_,Breakfast (Complimentary),hotel_amenity,"match(""..."")",Restaurant(s) in hotel Restaurant,
HOTEL DINING,Food & Beverage,207,More than one restaurant,,,,Y,More_than_one_restaurant,Number of restaurants > 1,hotel_amenity,compare,Snack bar/deli ,
HOTEL DINING,Food & Beverage,208,No Alcohol served,,,,,No_Alcohol_served,,,,Bar/lounge                    ,
HOTEL DINING,Food & Beverage,209,Restaurant,,,,Y,Restaurant,,hotel_amenity,"match(""restaurant"")",,
HOTEL DINING,Food & Beverage,210,Very good restaurant in the hotel,"Is there a highly rated restaurant in the hotel e.g. celebrty chef, top 20 on Yelp/Tripadvisor etc",Yes,No,,Very_good_restaurant_in_the_hotel,,,,,
HOTEL DINING,Restaurants,211,More than one restaurant,,No,Yes,,More_than_one_restaurant,,,,,
HOTEL DINING,Room Service,212,24 hour room service,,No,Yes,,24_hour_room_service,,,,,
HOTEL DINING,Room Service,213,Available/Not Available,,No,Yes,,Available_Not_Available,,,,,
HOTEL VIEWS,Near a major waterbody,214,Lakeside,,No,Yes,,Lakeside,,,,,
HOTEL VIEWS,Near a major waterbody,215,Private Beach,,No,Yes,,Private_Beach,,,,,
HOTEL VIEWS,Near a major waterbody,216,Riverside,,No,Yes,,Riverside,,,,,
HOTEL VIEWS,Near a major waterbody,217,Seaside,,No,Yes,,Seaside,,,,,
HOTEL VIEWS,Near a major waterbody,218,,,No,Yes,,,,,,,
HOTEL VIEWS,Room Views,219,Rooms with Beach View Present,,No,Yes,Y,Rooms_with_Beach_View_Present,Beach view ,room_amenity,"match(""..."")",,
HOTEL VIEWS,Room Views,220,Rooms with City View Present,,No,Yes,Y,Rooms_with_City_View_Present,City view ,room_amenity,"match(""..."")",,
HOTEL VIEWS,Room Views,221,Rooms with Courtyard View Present,,No,Yes,Y,Rooms_with_Courtyard_View_Present,Courtyard view ,room_amenity,"match(""..."")",,
HOTEL VIEWS,Room Views,222,Rooms with Garden View Present,,No,Yes,Y,Rooms_with_Garden_View_Present,Garden view ,room_amenity,"match(""..."")",,
HOTEL VIEWS,Room Views,223,Rooms with Golf Course View Present,,No,Yes,Y,Rooms_with_Golf_Course_View_Present,Golf course view ,room_amenity,"match(""..."")",,
HOTEL VIEWS,Room Views,224,Rooms with Lake View Present,,No,Yes,Y,Rooms_with_Lake_View_Present,Lake view ,room_amenity,"match(""..."")",,
HOTEL VIEWS,Room Views,225,Rooms with Landmark View Present,,No,Yes,,Rooms_with_Landmark_View_Present,,,,,
HOTEL VIEWS,Room Views,226,Rooms with Mountain View Present,,No,Yes,Y,Rooms_with_Mountain_View_Present,Mountain view ,room_amenity,"match(""..."")",,
HOTEL VIEWS,Room Views,227,Rooms with Partial Sea/Ocean View Present,,No,Yes,Y,Rooms_with_Partial_Sea_Ocean_View_Present,Partial ocean view OR Partial sea view,room_amenity,"match(""..."")",,
HOTEL VIEWS,Room Views,228,Rooms with Pool View Present,,No,Yes,Y,Rooms_with_Pool_View_Present,Pool view ,room_amenity,"match(""..."")",,
HOTEL VIEWS,Room Views,229,Rooms with River View Present,,No,Yes,Y,Rooms_with_River_View_Present,River view ,room_amenity,"match(""..."")",,
HOTEL VIEWS,Room Views,230,Rooms with Sea/Ocean View Present,,No,Yes,Y,Rooms_with_Sea_Ocean_View_Present,Ocean view OR Sea view ,room_amenity,"match(""..."")",,
HOTEL VIEWS,Room Views,231,Rooms with Water View Present,,No,Yes,Y,Rooms_with_Water_View_Present,Water view OR Partial ocean view OR Pool view OR River view OR Ocean view OR Sea view ,room_amenity,"match(""..."")",,
HOTEL VIEWS,View from Hotel,232,Extraordinary view,"e.g. clear and wide span of view, great vintage points etc",Yes,No,,Extraordinary_view,,,,,
HOTEL VIEWS,View from Hotel,233,Lake view,,No,Yes,Y,Lake_view,Lake view,room_amenity,"match(""..."")",,
HOTEL VIEWS,View from Hotel,234,Mountain view,,No,Yes,Y,Mountain_view,Mountain view,room_amenity,"match(""..."")",,
HOTEL VIEWS,View from Hotel,235,River view,,No,Yes,Y,River_view,River view,room_amenity,"match(""..."")",,
HOTEL VIEWS,View from Hotel,236,Sea view,,No,Yes,Y,Sea_view,Sea view,room_amenity,"match(""..."")",,
HOTEL VIEWS,View from Hotel,237,Tourist landmark view,e.g. view of the Eiffel Tower or Manhattan skyline,No,Yes,,Tourist_landmark_view,,,,,
LOCATION,Other,238,Clean neighborhood,,,,,Clean_neighborhood,,,,,
LOCATION,Other,239,Safe neighborhood,,,,,Safe_neighborhood,,,,,
LOCATION,Other,240,Upscale neighborhood,,,,,Upscale_neighborhood,,,,,
LOCATION,Proximity,241,Near Airport / Train Station,,,,,Near_Airport_Train_Station,,,,,
LOCATION,Proximity,242,Near ATM or Bank,,,,,Near_ATM_or_Bank,,,,,
LOCATION,Proximity,243,Near Hospital,,,,,Near_Hospital,,,,,
LOCATION,Proximity,244,Near nightlife,,,,,Near_nightlife,,,,,
LOCATION,Proximity,245,Near playgrounds or parks,,,,,Near_playgrounds_or_parks,,,,,
LOCATION,Proximity,246,Near public transport,,,,,Near_public_transport,,,,,
LOCATION,Proximity,247,Near restaurants,,,,,Near_restaurants,,,,,
LOCATION,Proximity,248,Near shopping,,,,,Near_shopping,,,,,
LOCATION,Proximity,249,Near tourist attractions,,,,,Near_tourist_attractions,,,,,
QUALITY OF SERVICE,Going beyond the brief,250,,,,,,,,,,,
QUALITY OF SERVICE,Politeness,251,,Most subjective area,,,Y,,,,,,
ROOM,Bath,252,Bathrobes ,,No,Yes,Y,Bathrobes,Bathrobes ,room_amenity,"match(""..."")",,
ROOM,Bath,253,Bathrobes (on request) ,,No,Yes,Y,Bathrobes_on_request_,Bathrobes (on request) ,room_amenity,"match(""..."")",,
ROOM,Bath,254,Bathroom scale ,,No,Yes,Y,Bathroom_scale,Bathroom scale ,room_amenity,"match(""..."")",,
ROOM,Bath,255,Bathroom phone ,Also Bath,No,Yes,Y,Bathroom_phone,Bathroom phone ,room_amenity,"match(""..."")",,
ROOM,Bath,256,Bathroom television ,Also Bath,No,Yes,Y,Bathroom_television,Bathroom television ,room_amenity,"match(""..."")",,
ROOM,Bath,257,Bathtub Only,,No,Yes,Y,Bathtub_Only,Bathtub only ,room_amenity,"match(""..."")",,
ROOM,Bath,258,Bathtub or shower ,,No,Yes,Y,Bathtub_or_shower,Bathtub or shower ,room_amenity,"match(""..."")",,
ROOM,Bath,259,Bidet ,,No,Yes,Y,Bidet,Bidet ,room_amenity,"match(""..."")",,
ROOM,Bath,260,Complimentary toiletries ,,No,Yes,Y,Complimentary_toiletries,Complimentary toiletries,room_amenity,,,
ROOM,Bath,261,Deep soaking bathtub,,No,Yes,Y,Deep_soaking_bathtub,Deep soaking bathtub ,room_amenity,"match(""..."")",,
ROOM,Bath,262,Designer toiletries ,,No,Yes,Y,Designer_toiletries,Designer toiletries ,room_amenity,"match(""..."")",,
ROOM,Bath,263,Double sink ,,No,Yes,Y,Double_sink,Double sink ,room_amenity,"match(""..."")",,
ROOM,Bath,264,En Suite / Pvt bathroom,,No,Yes,Y,En_Suite_Pvt_bathroom,Private bathroom ,room_amenity,"match(""..."")",,
ROOM,Bath,265,Hair dryer ,,No,Yes,Y,Hair_dryer,Hair dryer ,room_amenity,"match(""..."")",,
ROOM,Bath,266,Hair dryer (on request) ,,No,Yes,Y,Hair_dryer_on_request_,Hair dryer (on request) ,room_amenity,"match(""..."")",,
ROOM,Bath,267,Handheld shower ,,No,Yes,Y,Handheld_shower,"Handheld shower, Handheld showerhead ",room_amenity,"match(""..."")",,
ROOM,Bath,268,Hot Water Available,,No,Yes,,Hot_Water_Available,,,,,
ROOM,Bath,269,Hydromassage showerhead ,,No,Yes,Y,Hydromassage_showerhead,Hydromassage showerhead,room_amenity,"match(""..."")",,
ROOM,Bath,270,Jacuzzi,,No,Yes,,Jacuzzi,,,,,
ROOM,Bath,271,Jetted bathtub ,,No,Yes,Y,Jetted_bathtub,Jetted bathtub ,room_amenity,"match(""..."")",,
ROOM,Bath,272,Large Bath,,Yes,No,,Large_Bath,,,,,
ROOM,Bath,273,Makeup/shaving mirror ,,No,Yes,Y,Makeup_shaving_mirror,Makeup/shaving mirror ,room_amenity,"match(""..."")",,
ROOM,Bath,274,Partially open bathroom ,,No,Yes,Y,Partially_open_bathroom,Partially open bathroom ,room_amenity,"match(""..."")",,
ROOM,Bath,275,Private bathroom (not in room) ,,No,Yes,Y,Private_bathroom_not_in_room_,Private bathroom (not in room) ,room_amenity,"match(""..."")",,
ROOM,Bath,276,Private spa tub ,,No,Yes,Y,Private_spa_tub,Private spa tub ,room_amenity,"match(""..."")",,
ROOM,Bath,277,Rainfall showerhead ,,No,Yes,Y,Rainfall_showerhead,Rainfall showerhead ,room_amenity,"match(""..."")",,
ROOM,Bath,278,Second bathroom ,,No,Yes,Y,Second_bathroom,Second bathroom ,room_amenity,"match(""..."")",,
ROOM,Bath,279,Separate bathtub and shower ,,No,Yes,Y,Separate_bathtub_and_shower,Separate bathtub and shower ,room_amenity,"match(""..."")",,
ROOM,Bath,280,Shared bathroom ,,No,Yes,Y,Shared_bathroom,Shared bathroom ,room_amenity,"match(""..."")",,
ROOM,Bath,281,Shared bathroom with sink in room ,,No,Yes,Y,Shared_bathroom_with_sink_in_room,Shared bathroom with sink in room ,room_amenity,"match(""..."")",,
ROOM,Bath,282,Shower Only,,No,Yes,Y,Shower_Only,Shower Only,room_amenity,"match(""..."")",,
ROOM,Bath,283,Shower Present,,No,Yes,Y,Shower_Present,Shower Only OR Separate bathtub and shower OR Shower/tub combination ,room_amenity,"match(""..."")",,
ROOM,Bath,284,Shower/tub combination ,,No,Yes,Y,Shower_tub_combination,Shower/tub combination ,room_amenity,"match(""..."")",,
ROOM,Bath,285,Stylish Bath ???,,Yes,No,,Stylish_Bath_,,,,,
ROOM,Bed,286,Cribs/infant beds (complimentary) ,,No,Yes,Y,Cribs_infant_beds_complimentary_,,,,Cribs (infant beds) available ,
ROOM,Bed,287,Cribs/infant beds (surcharge) ,,No,Yes,Y,Cribs_infant_beds_surcharge_,,,,Cribs (infant beds) available (surcharge),
ROOM,Bed,288,Egyptian-cotton sheets ,,No,Yes,Y,Egyptian_cotton_sheets,Egyptian-cotton sheets ,room_amenity,"match(""..."")",Cribs/infant beds (complimentary) ,
ROOM,Bed,289,Extra towels/bedding ,,No,Yes,Y,Extra_towels_bedding,Extra towels/bedding ,room_amenity,"match(""..."")",,
ROOM,Bed,290,Extra towels/bedding in room ,,No,Yes,Y,Extra_towels_bedding_in_room,Extra towels/bedding in room ,room_amenity,"match(""..."")",Cribs/infant beds (surcharge) ,
ROOM,Bed,291,Frette Italian sheets ,,No,Yes,Y,Frette_Italian_sheets,Frette Italian sheets ,room_amenity,"match(""..."")",Cribs/infant beds available ,
ROOM,Bed,292,Hypo-allergenic bedding available ,,No,Yes,Y,Hypo_allergenic_bedding_available,Hypo-allergenic bedding available ,room_amenity,"match(""..."")",,
ROOM,Bed,293,Memory foam mattress ,,No,Yes,Y,Memory_foam_mattress,Memory foam mattress ,room_amenity,"match(""..."")",,
ROOM,Bed,294,Pillow menu ,,No,Yes,Y,Pillow_menu,Pillow menu ,room_amenity,"match(""..."")",,
ROOM,Bed,295,Pillowtop mattress ,,No,Yes,Y,Pillowtop_mattress,Pillowtop mattress ,room_amenity,"match(""..."")",,
ROOM,Bed,296,Premium bedding ,,No,Yes,Y,Premium_bedding,Premium bedding ,room_amenity,"match(""..."")",,
ROOM,Bed,297,Rollaway beds ,,No,Yes,Y,Rollaway_beds,"Rollaway beds, Rollaway beds available ",room_amenity,"match(""..."")",,
ROOM,Bed,298,Rollaway beds available (surcharge),,No,Yes,Y,Rollaway_beds_available_surcharge_,Rollaway beds available (surcharge),room_amenity,"match(""..."")",,
ROOM,Bed,299,Signature bedding ,,No,Yes,Y,Signature_bedding,Signature bedding ,room_amenity,"match(""..."")",,
ROOM,Bed,300,Sleep Number by Select Comfort mattress ,,No,Yes,Y,Sleep_Number_by_Select_Comfort_mattress,Sleep Number by Select Comfort mattress ,room_amenity,"match(""..."")",,
ROOM,Bed,301,Sofa bed ,,No,Yes,Y,Sofa_bed,Sofa bed ,room_amenity,"match(""..."")",,
ROOM,Bed,302,Sofa bed Queen,,No,Yes,Y,Sofa_bed_Queen,"Sofa bed Queen, Sofa bed size queen",room_amenity,"match(""..."")",,
ROOM,Bed,303,Sofa bed size double,,No,Yes,Y,Sofa_bed_size_double,Sofa bed size double,room_amenity,"match(""..."")",,
ROOM,Bed,304,Sofa bed size king,,No,Yes,Y,Sofa_bed_size_king,Sofa bed size king,room_amenity,"match(""..."")",,
ROOM,Bed,305,Sofa bed size single,,No,Yes,Y,Sofa_bed_size_single,Sofa bed size single,room_amenity,"match(""..."")",,
ROOM,Bed,306,Sofa bed size twin,,No,Yes,Y,Sofa_bed_size_twin,Sofa bed size twin,room_amenity,"match(""..."")",,
ROOM,Bed,307,Tempur-Pedic mattress ,,No,Yes,Y,Tempur_Pedic_mattress,Tempur-Pedic mattress ,room_amenity,"match(""..."")",,
ROOM,Exterior,308,Balcony ,,Yes,No,Y,Balcony,Balcony ,room_amenity,"match(""..."")",,
ROOM,Exterior,309,Balcony or patio ,,Yes,No,Y,Balcony_or_patio,Balcony or patio ,room_amenity,"match(""..."")",,
ROOM,Exterior,310,Deck ,,Yes,No,Y,Deck,Deck ,room_amenity,"match(""..."")",,
ROOM,Exterior,311,Furnished balcony ,,Yes,No,Y,Furnished_balcony,Furnished balcony ,room_amenity,"match(""..."")",,
ROOM,Exterior,312,Furnished balcony or patio ,,Yes,No,Y,Furnished_balcony_or_patio,Furnished balcony or patio ,room_amenity,"match(""..."")",,
ROOM,Exterior,313,Furnished lanai ,,Yes,No,Y,Furnished_lanai,Furnished lanai ,room_amenity,"match(""..."")",,
ROOM,Exterior,314,Furnished patio ,,Yes,No,Y,Furnished_patio,Furnished patio ,room_amenity,"match(""..."")",,
ROOM,Exterior,315,Lanai ,,Yes,No,Y,Lanai,Lanai ,room_amenity,"match(""..."")",,
ROOM,Exterior,316,Large Balcony,,,,,Large_Balcony,,,,,
ROOM,Exterior,317,Nice View from Balcony,,,,,Nice_View_from_Balcony,,,,,
ROOM,Exterior,318,Patio ,,Yes,No,Y,Patio,Patio ,room_amenity,"match(""..."")",,
ROOM,Exterior,319,Patio Privacy,,,,,Patio_Privacy,,,,,
ROOM,Exterior,320,Private plunge pool ,,Yes,No,Y,Private_plunge_pool,Private plunge pool ,room_amenity,"match(""..."")",,
ROOM,Exterior,321,Rooms with Private pool ,Also in Pool,Yes,No,Y,Rooms_with_Private_pool,Yard ,room_amenity,"match(""..."")",,
ROOM,Exterior,322,Yard ,,Yes,No,Y,Yard,Private pool ,room_amenity,"match(""..."")",,
ROOM,Size,323,"Balcony, Sit out,",,No,Yes,,Balcony_Sit_out_,,,,,
ROOM,Size,324,Large / Small,,Yes,Maybe,,Large_Small,,,,,
ROOM,Style of room decor,325,Contemporary Décor,,No,Yes,,Contemporary_D_cor,,,,,
ROOM,Style of room decor,326,Functional Décor,,No,Yes,,Functional_D_cor,,,,,
ROOM,Style of room decor,327,Traditional Décor,,No,Yes,,Traditional_D_cor,,,,,
ROOM AMENITIES,Communication,328,Bathroom phone ,Also Bath,,,,Bathroom_phone,,,,,
ROOM AMENITIES,Communication,329,Cordless phone ,,No,Yes,Y,Cordless_phone,Cordless phone ,room_amenity,"match(""..."")",,
ROOM AMENITIES,Communication,330,Internet Dial-up ,,No,Yes,Y,Internet_Dial_up,Dial-up Internet access (complimentary) OR Dial-up Internet access (surcharge) OR Internet access - dial-up   ,room_amenity,"match(""..."")",,
ROOM AMENITIES,Communication,331,Direct-dial phone ,,No,Yes,Y,Direct_dial_phone,Direct-dial phone ,room_amenity,"match(""..."")",,
ROOM AMENITIES,Communication,332,Fax machine ,,No,Yes,Y,Fax_machine,Fax machine ,room_amenity,"match(""..."")",,
ROOM AMENITIES,Communication,333,Free local calls ,,No,Yes,Y,Free_local_calls,Free local calls ,room_amenity,"match(""..."")",,
ROOM AMENITIES,Communication,334,Free local calls (limited),,No,Yes,Y,Free_local_calls_limited_,Free local calls (limited),room_amenity,"match(""..."")",,
ROOM AMENITIES,Communication,335,Free long-distance calls ,,No,Yes,Y,Free_long_distance_calls,Free long-distance calls ,room_amenity,"match(""..."")",Dial-up Internet access (complimentary) ,
ROOM AMENITIES,Communication,336,High-speed Internet access ,,No,Yes,Y,High_speed_Internet_access,High-speed Internet access OR Internet access - high speed ,room_amenity,"match(""..."")",Dial-up Internet access (surcharge) ,
ROOM AMENITIES,Communication,337,In-room computer ,,No,Yes,Y,In_room_computer,In-room computer ,room_amenity,"match(""..."")",Free Wi-Fi ,
ROOM AMENITIES,Communication,338,Internet - High Speed,,No,Yes,Y,Internet_High_Speed,Free wired high-speed Internet OR Internet access - high speed  OR Wired high-speed Internet access (surcharge) OR Wired high-speed Internet access (complimentary) OR Wireless high-speed Internet access (surcharge) OR Wireless high-speed Internet access (complimentary) ,room_amenity,"match(""..."")",Free wired high-speed Internet ,
ROOM AMENITIES,Communication,339,Internet Free,,No,Yes,Y,Internet_Free,Free Wi-Fi OR Internet access (complimentary) OR Free wired high-speed Internet OR Wireless high-speed Internet access (complimentary) OR Wired high-speed Internet access (complimentary) OR Dial-up Internet access (complimentary) ,room_amenity,"match(""..."")",Internet access - complimentary ,
ROOM AMENITIES,Communication,340,Internet Surcharge,,No,Yes,Y,Internet_Surcharge,Internet access (surcharge) OR Wireless high-speed Internet access (surcharge) OR Wired high-speed Internet access (surcharge) OR Dial-up Internet access (surcharge) OR Wireless Internet access (surcharge) ,room_amenity,"match(""..."")",Internet access - dial-up   ,
ROOM AMENITIES,Communication,341,Internet Wired,,No,Yes,,Internet_Wired,Wired high-speed Internet access (surcharge) OR Wired high-speed Internet access (complimentary) OR Free wired high-speed Internet ,room_amenity,"match(""..."")",Internet access - high speed ,
ROOM AMENITIES,Communication,342,Internet Wireless,,No,Yes,Y,Internet_Wireless,Free Wi-Fi OR Wireless Internet access OR Wireless high-speed Internet access (complimentary) OR Wireless high-speed Internet access (surcharge),room_amenity,"match(""..."")",Internet access - surcharge ,
ROOM AMENITIES,Communication,343,Multi-line phone  ,,No,Yes,Y,Multi_line_phone,Multi-line phone ,room_amenity,"match(""..."")",Internet access - wireless   ,
ROOM AMENITIES,Communication,344,Phone available in room,,No,Yes,Y,Phone_available_in_room,Phone OR Multi-line phone OR Telephone OR Speakerphone ,room_amenity,"match(""..."")",Internet access (complimentary) ,
ROOM AMENITIES,Communication,345,Speakerphone ,,No,Yes,Y,Speakerphone,Speakerphone ,room_amenity,"match(""..."")",Wired high-speed Internet access (surcharge) ,
ROOM AMENITIES,Communication,346,Television Internet access (complimentary),,No,Yes,Y,Television_Internet_access_complimentary_,Television Internet access (complimentary) ,room_amenity,"match(""..."")",Wireless high-speed Internet access (complimentary) ,
ROOM AMENITIES,Communication,347,Television Internet access (surcharge),,No,Yes,Y,Television_Internet_access_surcharge_,Television Internet access (surcharge) ,room_amenity,"match(""..."")",Wireless Internet access ,
ROOM AMENITIES,Communication,348,Voice mail ,,No,Yes,Y,Voice_mail,Voice mail ,room_amenity,"match(""..."")",Wireless Internet access (surcharge) ,
ROOM AMENITIES,Entertainment,349,Bathroom television ,Also Bath,No,Yes,Y,Bathroom_television,Bathroom television ,room_amenity,"match(""..."")",,
ROOM AMENITIES,Entertainment,350,Cable television service ,,No,Yes,Y,Cable_television_service,Cable television service ,room_amenity,"match(""..."")",,
ROOM AMENITIES,Entertainment,351,Cable/satellite TV ,,No,Yes,Y,Cable_satellite_TV,Cable/satellite television channels OR Cable/satellite TV ,room_amenity,"match(""..."")",,
ROOM AMENITIES,Entertainment,352,CD player ,,No,Yes,Y,CD_player,CD player ,room_amenity,"match(""..."")",,
ROOM AMENITIES,Entertainment,353,Digital television service ,,No,Yes,Y,Digital_television_service,Digital television service ,room_amenity,"match(""..."")",,
ROOM AMENITIES,Entertainment,354,Standard television service ,,No,Yes,Y,Standard_television_service,Standardtelevision service ,room_amenity,"match(""..."")",,
ROOM AMENITIES,Entertainment,355,DVD player ,,No,Yes,Y,DVD_player,DVD player ,room_amenity,"match(""..."")",,
ROOM AMENITIES,Entertainment,356,DVD/VCR ,,No,Yes,Y,DVD_VCR,DVD/VCR ,room_amenity,"match(""..."")",,
ROOM AMENITIES,Entertainment,357,ESPN ,,No,Yes,Y,ESPN,ESPN ,room_amenity,"match(""..."")",,
ROOM AMENITIES,Entertainment,358,First-run movies ,,No,Yes,Y,First_run_movies,First-run movies ,room_amenity,"match(""..."")",,
ROOM AMENITIES,Entertainment,359,Flat-panel television ,,No,Yes,Y,Flat_panel_television,Flat-panel television ,room_amenity,"match(""..."")",,
ROOM AMENITIES,Entertainment,360,Free movie channels ,,No,Yes,Y,Free_movie_channels,Free movie channels ,room_amenity,"match(""..."")",,
ROOM AMENITIES,Entertainment,361,HBO ,,No,Yes,Y,HBO,HBO ,room_amenity,"match(""..."")",,
ROOM AMENITIES,Entertainment,362,High-definition television ,,No,Yes,Y,High_definition_television,High-definition television ,room_amenity,"match(""..."")",,
ROOM AMENITIES,Entertainment,363,MP3 docking station ,,No,Yes,Y,MP3_docking_station,iPod docking station OR MP3 docking station ,room_amenity,"match(""..."")",,
ROOM AMENITIES,Entertainment,364,OnCommand Video ,,No,Yes,Y,OnCommand_Video,OnCommand Video ,room_amenity,"match(""..."")",,
ROOM AMENITIES,Entertainment,365,Pay movies ,,No,Yes,Y,Pay_movies,Pay movies ,room_amenity,"match(""..."")",,
ROOM AMENITIES,Entertainment,366,Plasma/LCD television ,,No,Yes,Y,Plasma_LCD_television,LCD television OR Plasma television ,room_amenity,"match(""..."")",,
ROOM AMENITIES,Entertainment,367,Premium television channel(s) ,,No,Yes,Y,Premium_television_channel_s_,Premium television channel(s) OR Premium TV channel(s) ,room_amenity,"match(""..."")",,
ROOM AMENITIES,Entertainment,368,Satellite television service ,,No,Yes,Y,Satellite_television_service,Satellite television service ,room_amenity,"match(""..."")",,
ROOM AMENITIES,Entertainment,369,Television ,,No,Yes,Y,Television,Television,room_amenity,"match(""..."")",Should this be an OR of multiple attributes in this category,
ROOM AMENITIES,Entertainment,370,Television Internet access (surcharge) ,,No,Yes,Y,Television_Internet_access_surcharge_,Television Internet access (surcharge) ,room_amenity,"match(""..."")",,
